コード,来期見通し要約
4102,"次期は雇用・所得環境の改善により、景気は緩やかに回復局面が続くと思われます。それらを踏まえ、2027年３月期連結業績見通しは売上高13,000百万円、営業利益100百万円、経常利益250百万円、親会社株主に帰属する当期純利益150百万円を見込んでおります。"
7902,以上により、当社の2027年３月期の業績の見通しにつきましては、売上高27億円、営業利益１億90百万円、経常利益２億60百万円、当期純利益１億80百万円を見込んでおります。
3787,以上により、2027年３月期の通期業績見通しにつきましては、売上高705百万円（前期比2.8％増）、経常利益34百万円（前期比68.0％減）、当期純利益31百万円（前期比64.
6155,日本経済の先行きについては、雇用・所得環境の改善により個人消費が緩やかに増加し、人手不足への対応や成長分野への投資を背景として企業の設備投資も底堅く推移することから、内需を中心に回復基調が続くものと見込まれます。
6049,当社は、2026年10月期において広告単価の高騰が継続していることより、投資効率を最適化し安定した利益確保を目指す方針でおります。それに伴い、売上高についてはレンジ形式による業績予想開示を継続してまいります。
8144,国内経済は、持続的な賃上げと内需の底堅さに支えられ、プラス成長が続くと予想される一方で、軍事衝突や資源供給の混乱が長期化する可能性もあり、中東情勢の動向とそれに伴う資源価格・物流の変化が今後の景気に与える影響が懸念される状況となっております。
8891,"上記検討に基づき、2027年３月期の連結業績予想につきましては、売上高29,000百万円、営業利益1,200百万円、経常利益1,000百万円、親会社株主に帰属する当期純利益667百万円を見込んでおります。"
5280,）今後の経営環境につきましては、ウクライナ情勢や中東情勢の影響、中国経済の成長の鈍化、および米国の政策の動向などもあり、景気の先行きは不透明な状況が続くと思われます。
6964,中国自動車メーカーの伸長、中東情勢も先行きが見通せず厳しい事業環境となっております。
5909,今後のわが国経済は、雇用・所得環境の改善が期待されるなど、緩やかな回復基調が続くことが考えられます。
6257,次期は中東をはじめとした世界情勢の動向による原材料価格の上昇や供給面での制約など下振れリスクに注意が必要な状況でありますが、政府主導の対策による実質所得の改善やＡＩの活用など技術革新の進展により、緩やかな景気回復が続くと見込まれます。
5923,【中期経営計画2024の進捗】＜総括＞橋梁事業における新設鋼橋の事業環境が低迷を続けており、策定時の予想と大きく乖離したことで、2024年５月10日に開示した「中期経営計画2024」の数値目標につきましては、本日修正目標を開示しております。
3396,主力の定期便事業では、合理性や効率性が重視される現代社会に対して、コストパフォーマンスや利便性のみを訴求する事業とは一線を画した共感主導型マーケティングを徹底することにより、当社独自の持続的な競争優位性を確立してまいります。
8904,次期は売上高は720億円（前年同期比3.9％増）、営業利益は19億円（前年同期比44.6％増）、経常利益は16億円（前年同期比39.6％増）、親会社株主に帰属する当期純利益は12億円（前年同期比87.7％増）を見込んでおります。
8165,売上高につきましては、通信販売事業の抜本改革に伴う各施策の本格的な効果発現時期を慎重に見極めた結果、再生計画２年目の数値目標460億円から450億円へ見直します。
8772,（単位：千円）２．会計基準の選択に関する基本的な考え方当社グループは、連結財務諸表の期間比較可能性等を考慮し、日本基準に基づき連結財務諸表を作成しております。
7851,"現時点における翌事業年度の業績の見通しは、売上高は2,650百万円、利益につきましては雇用環境の改善やサイバーセキュリティ対策、原材料、光熱費等の高騰などにより利益を圧迫するものと予想しており、営業利益０百万円、経常利益20百万円、当期純利益30百万円を見込んでおります。"
4234,次期は売上高306億円（前年同期比0.8％増）、営業利益９億40百万円（前年同期比12.3％増）、経常利益11億円（前年同期比7.7％増）、親会社株主に帰属する当期純利益６億50百万円（前年同期比32.1％減）を予想しております。
3261,当社グループを取り巻く経営環境は、建築資材価格および人件費の上昇が継続する中、住宅販売価格は高止まりの状況が続いております。
9767,"次期の連結業績につきましては、型枠貸与事業の売上高は2,000百万円（前期比31.0％増）、製品販売事業の売上高4,700百万円（前期比0.3％増）、全売上高6,700百万円（前期比7.9％増）を予想しております。"
5408,"以上の状況を踏まえ、次期（2027年３月期）の通期連結業績につきましては、売上高1,570億円、営"
5928,２．会計基準の選択に関する基本的な考え方当社は、非連結会社であることから、日本基準を採用することが公正妥当であると考えております。
7442,当連結会計年度の業績は、営業面におきましては、グループ全社において消費者の価値観・需要に合った商品の販売や取引先への営業展開等が順調に進み、また、特に「家庭用品卸売事業」においては、期末にかけて石油由来の一部商品に関して先行きの供給不安を見越した前倒し需要が顕在化し、売上高が一時的に伸長した結果、売上高は2025年５月９日公表の連結業績予想を上回ることができました。
2388,今後の世界経済は、アメリカによる関税措置の影響や、ロシア・ウクライナ紛争も継続しており、インフレーションに影響を与えうる可能性があり、先行き不透明な状況で推移すると予測しております。
4624,今後の経済の見通しにつきましては、2026年3月からの買い込み需要の反動が懸念され、中東情勢による原油等の供給不安をはじめ、ウクライナ情勢の長期化や原油価格をはじめとするエネルギー価格の動向、物流・運送業界をとりまく2024年問題の更なる顕在化、通商政策など米国の政策動向がわが国経済に与える影響が見通せず、先行きは極めて不透明な状況であります。
7219,加えて、長期化する円安が原材料価格やエネルギー価格等に与える影響や、売り手市場が続く労働市場における賃金上昇圧力等も当社の損益に影響を与えており、これらの不確実性にどう対処し、コスト上昇圧力とどう向き合っていくかが、当社の企業価値を高めていく上での重要なテーマとなります。
7857,こうした状況下、２０２７年３月期の連結業績予想につきましては、売上高は１２８億４千５百万円（前年同期比５．９％増）、営業利益は４百万円（前年同期は６千５百万円の営業損失）、経常利益は２億３千５百万円（前年同期比２３．７％増）、親会社株主に帰属する当期純利益は１億３千５百万円（前年同期比４６．６％減）を見込んでおります。
6467,金型事業では、自動車産業の状況を踏まえ、製品領域を広げ顧客開拓を一層推進し、売上高の増加を見込んでおります。
7266,"第90期（2026年４月１日から2027年３月31日まで）連結売上高86,000百万円（前期比1.3％減）連結営業利益3,000百万円（前期比47.2％増）連結経常利益2,800百万円（前期比32.0％増）親会社株主に帰属する当期純利益2,300百万円（前期比7.3％減）為替レートにつきましては、１ドル150円を想定しております。"
9914,一方で、政府の成長投資や継続的な賃上げ、雇用環境の改善により、家計の実質購買力を支えることが出来れば、景気は底堅さを保つ見込みとなります。
8995,"当連結会計年度自2025年４月１日至2026年３月31日2027年３月期予想自2026年４月１日至2027年３月31日前期比増減額前期比増減率3,130百万円3,535百万円405百万円12.9％41百万円37百万円25百万円115百万円74百万円180.5％105百万円68百万円183.8％70百万円45百万円180.0％売上高営業利益経常利益親会社株主に帰属する当期純利益2027年３月期については、上記の通り増収、増益計画であります。"
1994,次期は売上高は82億42百万円（前連結会計年度比12.3%増）、営業利益2億18百万円（前連結会計年度比93.5%増）、経常利益2億68百万円（前連結会計年度比43.6%増）、親会社株主に帰属する当期純利益1億66百万円（前連結会計年度比12.9%減）を見込んでおります。
9162,当社グループは、新規商材・新規ジャンルの開拓に加えて、商品企画等の上流コンサルティング領域への注力、新たな広告媒体の開拓、マーケティング手法の拡大などにより、商材ポートフォリオを拡大し、当社グループの収益の柱となるコア商材を増やしていくことで継続的な業績拡大を図ってまいります。
8046,当社グループでは、2024年度（2025年３月期）からスタートした３か年中期経営計画の２年目が終了し、最終年度末の目標に掲げた定量的目標数値の連結売上高400億円、経常利益20億円の目標を前倒しで達成したことから、経営基盤の強化と成長に向けた投資の取り組みが着実に成果に結びついているものと判断いたしております。
8147,次期の通期の連結業績予想につきましては、売上高246億円、営業利益10億円、経常利益11億円、親会社株主に帰属する当期純利益６億８千万円を見込んでおります。
7624,このような認識のもと、当社は新中期経営計画の初年度として令和９年２月期の売上高は450億円、営業利益４億円、経常利益４億30百万円、親会社株主に帰属する当期純利益２億70百万円を見込んでおります。
8119,その結果、次期連結業績としては売上高365億円（前期比0.5%増加）、営業利益10億円（前期比26百万円減少）、経常利益10億円（前期比156百万円減少）、親会社株主に帰属する当期純利益7億円（前期比131百万円増加）となる見込です。
4341,（5）利益配分に関する基本方針及び当期・次期の配当当社は、株主の皆様に対する利益還元を経営の最重要政策の一つと考えており、会社の競争力を維持・強化して株主資本の拡充と同利益率の向上を図るとともに、配当水準の向上と安定化に努める方針です。
7229,"（２）当期の財政状態の概況①資産、負債及び資本の状況当連結会計年度末の資産につきましては、退職給付に係る資産の減少はあったものの、現金及び現金同等物の増加や営業債権及びその他の債権の増加により、前連結会計年度末に比べ176億９百万円増加し、1,860億１千６百万円となりました。"
7538,"次期は中東情勢や為替の変動により、資材価格や物流費の上昇が懸念されます。このような状況下、2027年３月期の連結業績見通しは、売上高1,060億円、営業利益８億円、経常利益９億50百万円、親会社株主に帰属する当期純利益６億50百万円と予想しております。"
9929,アメリカの通商政策の動向や中東情勢の緊迫化等の地政学的リスクの継続、金利および為替相場の変動、原材料価格の高騰による物価上昇等により、経済活動への懸念は今後も続いていくものと思われます。
7877,以上の状況を踏まえ、2027年３月期の連結業績見通しについては、売上高95億円（前期比3.0％増）、営業利益５億円（前期比4.8％増）、経常利益５億円(前期比1.4％増)、親会社株主に帰属する当期純利益３億50百万円（前期比4.8％増）を見込んでおります。
9872,次期は景気は緩やかな回復基調で推移すると見込まれる一方、資源・原材料価格高騰に伴う物価上昇、為替・金利の変動、海外経済の不透明感など、事業環境は引き続き変動要因が多い状況が続く見込みです。につきましては、売上高593億円、営業利益７億20百万円、経常利益９億10百万円、当期純利益５億60百万円を見込んでおります。
6262,は不透明な状況ではありますが、当社企業グループは、顧客課題解決に向けた商品開発及び技術向上を図るとともに、グローバルな生産供給体制の強化を通じて安定的かつ柔軟な事業運営基盤の構築に取り組んでまいります。以上を踏まえ、2027年３月期の連結業績見通しは、連結売上高221億80百万円、営業利益８
4839,①新たな配信サービスの立ち上げとデジタル基盤の確立新サービスへのマーケティング投資の集中と、デジタル領域での顧客獲得の最大化②コンテンツ多層化による事業収入の創出収益性の高いコンテンツ外部販売や広告事業の強化③コスト構造改革コンテンツ費等全社的な費用構造の見直しと固定費の削減④ＡＩ・ＤＸ活用による生産性向上ＡＩ活用・ＤＸ化の全社推進による事業基盤の強化⑤グループ各社の収益基盤の再構築グループ各社における「グループ外売上（外販）」の推進2027年３月期の連結業績見通しにつきましては、売上高745億円（前期比3.4％減）、営業利益７億円（同49.2％減）、経常利益10億円（同56.1％減）、親会社株主に帰属する当期純利益６億円（同53.7％減）を見込んでおります。
6228,２．会計基準の選択に関する基本的な考え方当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。
2193,当社グループは、日本を含む世界中の人々に向けて「毎日の料理を楽しみにする」サービスを提供するべく積極的に投資を行っていく所存です。
2499,）当社は市場規模が縮小傾向にある和装業界に属しながら、独自のビジネスモデルによって、業界内では比較的安定した営業利益（2023年度393百万円、2024年度480百万円、2025年度375百万円）を計上しております。
7991,以上を踏まえ当社グループは、2027年３月期の連結業績につき、売上高は170億円（前期比18.6％減）、営業利益は９億円（前期比52.2％減）、経常利益は15億円（前期比37.2％減）、親会社株主に帰属する当期純利益は12億円（前期比29.9%減）と予想しております。
7887,今後の我が国の経済情勢は、賃金・雇用情勢の改善や企業設備投資の拡大傾向を背景に、緩やかな回復が見込まれます。
7841,次期は売上高210億円（前期比15.1％増）、営業利益11億50百万円（同12.0％増）、経常利益12億50百万円（同8.9％増）、親会社株主に帰属する当期純利益10億円（同66.4％増）を見込んでおります。
6346,次期の経営環境につきましては、世界各国で起こっている紛争の行方が見通せず、それに伴うエネルギー・物流網の構造的な脆弱性に対応するためには、効率重視のサプライチェーンから、戦略的な在庫確保や供給網の多極化への転換が、我が国の産業界においての優先課題となると思われます。なお、次期の業績予想につきましては、売上高45億円、営業利益4億
6054,）当社グループは、中長期的な持続成長の実現と企業価値向上のため、既存事業の収益基盤を強化しつつ、新たな強みと収益源を獲得することを目指しています。
5918,当社グループを取り巻く事業環境につきましては、国内において慢性的な人手不足や入札競争の激化といった構造的課題に加え、建設コストの上昇や投資判断の慎重化を背景として、民間建設投資や鉄骨需要は力強さを欠いた推移が見込まれております。
4231,"今後の経済の見通しは、中東情勢の緊迫化に伴い、エネルギー価格高騰、物流コスト増加、サプライチェーン混乱などが想定され、先行き不透明な経営環境が予想されます。なお、現時点における連結業績予想は、売上高50,000百万円、営業利益3,000百万円、経常利益3,300百万円、親会社株主に帰属する当期純利益2,400百万円を見込んでおります。"
2917,"次期(2026年９月期)の連結業績見通しにつきましては、売上高18,000百万円、営業利益371百万円、経常利益321百万円、親会社株主に帰属する当期純利益196百万円を見込んでおります。"
1420,)次期の住宅業界は、緊迫化する中東情勢による原油価格やナフサ価格の上昇や石油化学製品の納期への影響等、不透明な状況が想定されます。
6867,"2027年３月期の通期業績予想につきましては、売上高4,100百万円、経常利益100百万円、親会社株主に帰属する当期純利益70百万円と見込んでおります。"
3439,
1758,③今回の中期経営計画では、環境サステナブル経営を長期ビジョンとする「安定成長・100年企業」の礎を築く３年間と位置付けており、「量」と「質」の両面からの向上をめざすものであります。
7871,世界経済は、米中の経済的対立の深化や各国の金融政策の調整過程にある中、２月下旬に端を発したイラン情勢の劇的な悪化により、地政学的緊張が一段と高まっております。
7347,"このような環境の中、翌連結会計年度（2026年12月期）の連結業績見通しにつきましては、営業収益5,000百万円（前年同期比30.7％減）、営業総利益4,900百万円（前年同期比27.3％減）、営業利益1,500百万円（前年同期比40.4％減）、経常利益1,500百万円（前年同期比41.3％減）、親会社株主に帰属する当期純利益1,000百万円（前年同期比40.6％減）を予想しております。"
8135,"翌連結会計年度（2026年３月期）の連結業績の見通しにつきましては、売上高59,500百万円（前期比1.4％増）、営業利益980百万円（前期比21.7％減）、経常利益1,200百万円（前期比17.9％減）、親会社株主に帰属する当期純利益830百万円（前期比14.9％減）を予想しております。"
3320,以上により、中期経営計画２年目に当たる2027年１月期の連結業績見通しにつきましては、売上高630億円、営業利益14億円、経常利益16億50百万円、親会社株主に帰属する当期純利益14億50百万円を見込んでおります。
9854,今後のわが国経済につきましては、米国の通商政策の動向や中東情勢等の地政学リスクの長期化に伴う原材料価格の高騰など、不安定な国際情勢の中にあります。
3426,"次期は売上高10,500百万円（前期比2.0％増）、営業利益350百万円（前期比32.1％減）、経常利益400百万円（前期比28.7％減）、当期純利益270百万円（前期比30.9％減）を見込んでおります。今後とも当社は、全社一丸となって業績と株主利益の向上に努めて参ります。"
5541,連結業績予想につきましては、中国における不動産市場の停滞、金融資本市場の動き、米国の関税措置、ウクライナ情勢の緊迫化、さらには中東情勢の長期化も懸念され、複合的な要因に伴う影響を受けて世界的に依然不確実性が高い状態で推移しております。
4629,上記の状況を踏まえまして、2027年３月期の業績は、売上高360億40百万円、営業利益13億円、経常利益13億50百万円、親会社株主に帰属する当期純利益８億10百万円を見込んでおります。
5971,
7531,このような状況を踏まえ、2026年12月期の連結業績予想につきましては、売上高510億円、営業利益４億40百万円、経常利益５億40百万円、親会社株主に帰属する当期純利益３億60百万円を見込んでおります。
4569,
7434,次期は企業収益が高い水準を維持していることや企業の積極的な賃上げが継続していることなどから、景気は引き続き緩やかに回復していくと思われます。次期連結業績見通しにつきましては、売上高340億円、営業利益10億円、経常利益12億20百万円、親会社株主に帰属する当期純利益８億60百万円を見込んでおります。
3246,"次期（2027年１月期）の連結業績見通しにつきましては、売上高10,350百万円、営業利益545百万円、経常利益664百万円、親会社株主に帰属する当期純利益440百万円を見込んでおります。"
6342,今後の我が国経済の見通しといたしましては、産業全体の先行きにかかる見通しは上向きであり、底堅い設備投資意欲に支えられゆるやかな回復基調の継続が予想される一方で、緊迫化する中東情勢を背景に原材料・エネルギー価格の高止まり、とりわけ石油関連の物流停滞および石油由来の製品不足が懸念されるなど、先行きの不透明な環境が見込まれます。
5984,次期の連結業績見通しにつきましては、為替レートを１米ドル＝150円、１ユーロ＝180円の想定のもと、売上高は220億円（前年同期比5.0％増）、営業利益は11億円（前年同期比0.8％増）、経常利益は11億円（前年同期比18.2％減）、親会社株主に帰属する当期純利益は９億円（前年同期比12.8％減）を想定しております。
5697,"なお、2027年3月期の業績見通しにつきましては、売上高は26,500百万円（当期比3.6％増）、営業利益900百万円（当期比1.5％増）、経常利益1,000百万円（当期比3.5％増）、親会社株主に帰属する当期純利益620百万円（当期比1.3％増）を見込んでおります。"
3420,①通期の見通し今後の見通しにつきましては、雇用環境の改善や賃金動向の変化などを背景に、緩やかな回復が続くことが期待されます。
1850,次期は国内経済は緩やかな回復基調のまま推移することが見込まれ、建設業界におきましても、堅調な企業収益や省力化投資への対応等を背景に、持ち直しの傾向が続くことが期待されます。
7937,"以上により、業績の見通しにつきましては、売上高31,300百万円（前期比11.1％減）、営業利益4,000百万円（前期比23.7％減）、経常利益4,200百万円（前期比22.2％減）、当期純利益2,800百万円（前期比24.1％減）を見込んでおります。"
4224,以上のことから、2027年3月期の連結業績予想につきましては、売上高225億円（前期比1.8%増）、営業利益14億円（前期比4.2%増）、経常利益15億円（前期比4.1%増）、親会社株主に帰属する当期純利益10億50百万円（前期比3.0%増）を見込んでおります。
4705,"教育事業は、通期の平均生徒数が、当期5,706名から、次期5,843名となる見込から、売上高23億36百万円（当連結会計年度比3.4％増）と見込んでおります。"
7670,"以上の状況を踏まえ、2027年３月期の連結業績予想につきましては、売上高は71,000百万円（当期比4.0％増）、営業利益は1,250百万円（当期比0.9％減）、経常利益は1,450百万円（当期比14.3％減）、親会社株主に帰属する当期純利益は1,600百万円（当期比11.0％減）を見込んでおります。"
2795,①次期(2027年３月期)の連結業績見通しについて次期(2027年３月期)の連結業績見通しにつきましては、売上高71億70百万円、営業利益５億0百万円、経常利益５億60百万円、親会社株主に帰属する当期純利益３億75百万円を見込んでおります。
3758,
5951,これにより通期の業績見通しにつきましては、売上高205億円（前期比2.1％増）、営業利益13億円（同28.3％減）、経常利益16億円（同23.1％減）、当期純利益12億円（同20.3％減）を予定しております。
7435,
7422,当社を取り巻く事業環境は、原材料価格や物流費の上昇、為替変動等の影響に加え、消費行動や市場構造の変化が進行しており、依然として先行き不透明な状況が続いております。
3236,日本経済は、米国の通商政策等による不透明感がみられ、一部で足踏みがみられるものの当面は内需がけん引する形で、緩やかな回復を続けることが見込まれます。
5819,"世界情勢は、ロシア・ウクライナ、中東、東アジア、中南米など地政学リスクが世界各地域に広がり、経済活動へ波及が懸念されるなど不安定な状況が想定されます。当社グループは、国内市場における既存事業強化とともに、海外市場への積極的な展開、次のビジネスの礎構築に向けた取組みを加速させることにより、売上高13,200百万円を予想しております。"
3161,"次期は売上高8,445百万円、営業利益270百万円、経常利益300百万円、親会社株主に帰属する当期純利益194百万円を見込んでおります。"
7175,当社の業績は、経済情勢や市場環境の変動による影響を大きく受ける状況にあり、投資家の皆様の投資判断に有用な業績予想を行うことが困難であるため、業績予想を開示しておりません。
5946,）今後のわが国経済は、雇用・所得環境の改善により個人消費の持ち直しの動きが引続き拡大していくと見込まれ、景気は緩やかな回復が期待されますが、米国の通商政策の動向や日中関係の悪化に加え、政府の積極財政や金融政策が個人消費に及ぼす影響等に十分に留意する必要があります。
8938,当社連結子会社であり医療関連事業の中核を担うグローム・マネジメント㈱では、2027年３月期において、アライアンス先医療機関に対するコンサルティング事業に関して、１件・計100床の新規獲得を計画しており、周辺ビジネスを含めた売上高は837百万円を見込んでおります。
6292,世界経済は、地政学的リスクの高まりや中国経済の長期低迷等により、先行きに対する強い不透明感が漂っています。
3668,
6748,次期は雇用・所得環境の改善などを背景に緩やかな回復が続くことが期待されますが、物価上昇、アメリカの政策動向、金融資本市場の変動など依然として景気の先行きは不透明な状況にあります。
9972,"当社グループは、2021年１月に策定した中期経営計画（2021年11月期～2025年11月期の5ヵ年）において、最終年度である2025年11月期の連結目標数値を売上高20,000百万円、営業利益1,000百万円、営業利益率5.0％以上、自己資本利益率（ROE）8.0％以上と掲げておりましたが、本日公表いたしましたとおり、急速な市場環境の変化に対応し、将来の収益基盤を強化するための抜本的な事業構造改革（再生フレーク事業からの撤退等）を断行した結果、これらの目標数値は最終的に未達となりました。"
6335,としては売上高109億6千万円（前期実績84億5千6百万円）、営業利益7億円（前期実績7億2千1百万円）、経常利益7億3千万円（前期実績7億7千7百万円）を予定しており、特別利益として固定資産売却益を、特別損失として現在係争中の訴訟関連費用などを見込んでいることから、親会社株主に帰属する当期純利益5億6千万円（前期実績10億5千7百万円）を予想しております。
7021,世界経済は、米国中心に堅調に推移してきましたが、中東における紛争の影響により急速に不透明感が増しています。
2814,"このような見通しのもと、第２四半期業績予想は、売上高3,424百万円、営業利益218百万円、経常利益308百万円及び中間純利益208百万円、通期業績予想は、売上高6,732百万円、営業利益373百万円、経常利益545百万円及び当期純利益368百万円を見込んでおります。"
6899,"次期は売上高58,000百万円（当期比7.1％減）営業利益1,000百万円（当期比23.2％減）経常利益1,000百万円（当期比24.6％減）親会社株主に帰属する当期純利益700百万円（当期比1.8％減）を見込んでおります。"
7997,"売上高（百万円）営業利益（百万円）経常利益（百万円）親会社株主に帰属する当期純利益（百万円）１株当たり当期純利益（円）2026年11月期2025年11月期増減率（％）7,450 6,342 17.5 70△122―75△7―40 403△90.1 23.96 237.75△89.9翌連結会計年度を迎えるにあたり、新３か年中期経営計画『Power Up 2028』（2026年11月期～2028年11月期）（以下『Power Up 2028』という。"
4360,"通期の連結業績見通しにつきましては、売上高11,600百万円（前期比5.5％増）を予想しております。なお、2027年３月期の連結業績予想については、中東情勢による未確定要素を踏まえ、特に今後の生産計画の変更可能性や原料コストの変化等、合理的な算定が困難なため、現時点では売上高のみを開示しております。"
