コード,見通し原文
8617,今後の見通し 国内景気の先行きについては、雇用・所得環境の改善や各種政策の効果が緩やかな回復を支えることが期待されま すが、中東情勢の影響を注視する必要があります。加えて、物価上昇の継続が消費者マインドの下振れ等を通じて個 人消費に及ぼす影響なども、我が国の景気を下押しするリスクがあります。 また、金融資本市場の変動の影響や米国の通商政策をめぐる動向などに注意する必要があり、経済環境が厳しい状 況になった場合には、証券業は金融資本市場の変動の影響を受けやすい業態の性格上、当社の経営成績に影響が出る 可能性があります。 ２．会計基準の選択に関する基本的な考え方 IFRSの適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 ― 4 ― ３．財務諸表及び主な注記 （１）貸借対照表 資産の部 流動資産 現金・預金 預託金 トレーディング商品 商品有価証券等 デリバティブ取引 約定見返勘定 信用取引資産 信用取引貸付金 信用取引借証券担保金 支払差金勘定 有価証券担保貸付金 借入有価証券担保金 立替金 前払金 前払費用 未収入金 未収還付法人税等 未収収益 短期差入保証金 その他の流動資産 流動資産計 固定資産 有形固定資産 建物 器具備品 土地 無形固定資産 ソフトウエア 電話加入権 その他 投資その他の資産 投資有価証券 関係会社株式 長期立替金 その他 貸
6986,今後の見通しについては、緩やかな景気回復傾向が継続するものの、中東情勢の緊迫化をはじめとする地政学的リスクの高まりおよびそれに伴う各種コストの増加、米国の関税政策をめぐる動向など、企業を取り巻く事業環境は依然として先行き不透明な状況が続くものと考えられます。 なお、中東情勢の緊迫化による影響については、既に原油価格の上昇、石油関連製品の価格高騰や調達難など一部で影響が出始めており、一定の想定に基づき影響額を推定しているものの、現時点では合理的に見積もることが困難であるため、現在までに発生済みの影響を除き、業績見通しの前提には含めていません。 当社としては、価格転嫁やサプライチェーン最適化の対策を一部開始していますが、引き続き影響緩和に努めていきます。なお、開示すべき重大な影響が見込まれる場合には速やかに公表いたします。このような前提のもと、2027年３月期の連結業績としましては、次のとおりを見込んでいます。 売上高 450億円 営業損失 △13億円 経常損失 △８億５千万円 親会社株主に帰属する当期純損失 △39億円 なお、上記は、１米ドル当たり150円を前提にしています。【事業区分別内訳】(単位：百万円)(注)１ 各セグメントの売上高および営業利益は、内部取引を含んでいます。 双葉電子工業(株) (6986) 2026年3月期 決算短信 - 6 - （電子機器
5956,今後の見通しにつきましては、国内経済は雇用・所得環境の改善や各種政策等により引き続き緩やかな回復基調 にて推移すると見込まれるものの、米国の通商政策や不安定な国際情勢に伴う世界的な景気下振れや原材料・エネ ルギー価格の高騰、為替変動など、先行きは極めて不透明な状況が続くと想定されます。当社グループ事業に関連 の深い建設市場におきましても、新設住宅着工戸数の減少に加え、人手不足や資材価格上昇等の影響により引き続 き厳しい状況が続くことが予想されます。 このような環境の中、当社グループは「Vision2025」の実現に向け、引き続き新製品開発力や市場への対応力の 強化に取り組んでまいります。中長期の展望では、住宅分野の深耕とあわせて需要の拡大が見込まれる宿泊施設を はじめとした非住宅分野の取り込みを進め、アジアを中心とした海外販売の強化や当社グループの保有技術を活用 した用途開発、ステッキ等福祉用品等の新規分野でのビジネス領域拡大に取り組み、持続的な企業成長を図ってま いります。また、原価低減、総費用低減の徹底を図り、高収益体質への転換と競争力強化に取り組んでまいりま す。 ２．会計基準の選択に関する基本的な考え方 当社は、財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で財務諸表を作成する方 針であります。なお、IFRS(国際財務報告基準）の適用につきましては、国内外の諸情勢を考慮の上、適切に対応して いく方針であ
7399,"次期の見通し 国際情勢の不安定化や金融政策の転換による先行き不透明感の中、物価上昇や需要の選別化が進み、今後とも収 益を圧迫する状況は続くと思われます。 このような厳しい経営環境下、生産および販売体制のさらなる効率化を進めるとともに、収益性を重視した製品 構成の見直しに取り組んでまいります。 また、持続的な成長軌道を確保するため、製造業としての原点に帰り、選択と集中による経営基盤の再構築に取 り組むと同時に、人財への投資を中心に開発力や営業力の強化にも取り組みます。 2 株式会社ナンシン(7399) 2026年３月期 決算短信 （２）財政状態に関する分析 資産、負債及び純資産の状況 (資産) 流動資産は、前連結会計年度末に比べて2.5％増加し、10,140,575千円となりました。 これは主に、現金が624,313千円増加したことによります。 固定資産は、前連結会計年度末に比べて1.9％減少し、4,472,448千円となりました。 これは主に、投資有価証券が220,803千円減少したことによります。 この結果、総資産は、前連結会計年度末に比べて1.1％増加し、14,613,023千円となりました。 (負債) 流動負債は、前連結会計年度末に比べて7.8％減少し、1,594,728千円となりました。 これは主に、支払手形及び買掛金が259,935千円減少したことによります。 固定負債は、前連結会計年度末に比べて9.4％減少し、885,249千円"
7427,今後の見通し」をご覧ください。 エコートレーディング㈱（7427）2026年２月期 決算短信― 1 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 2 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 3 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 4 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 5 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 6 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 7 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 8 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 9 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 10 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 11 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 12 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 13 ―
6943,今後の見通し次期の見通しにつきましては、各国での物価上昇の継続に加え、米国における関税をはじめとする通商政策が世界経済に与える影響、ウクライナ情勢の長期化や中東情勢の緊迫化等の地政学リスク、中国の景気低迷の長期化懸念など、世界経済の不確実性が高まると見込んでおります。このような環境の中、当社グループは、2030年のありたい姿として制定したグループビジョン「私たちが笑顔となり、お客様の困りごとを顧客目線で解決する真のパートナーとなります。」を実現するため、行動理念「信頼し、信頼される良い会社」を目指す中、2024年度までの３ヵ年の中期経営計画Ⅰでは「信頼」と「納期」を重点テーマとして土台構築を行ってまいりました。2025年度から始まる３ヵ年の中期経営計画Ⅱでは、信頼と納期に対する取り組みを継続しつつ、次のステップとして「顧客価値の向上」を目指し、「特定市場の深耕」と「生販一体の供給基盤構築」を重点テーマとし、グループの総力を結集してこれらに関する戦略を重点的に実行してまいります。通期の連結業績予想につきましては、以下のとおりです。なお、連結業績予想の前提となる為替レートにつきましては、１米ドル150円としております。 NKKスイッチズ(株)(6943) 2026年3月期 決算短信 - 4 - ２．会計基準の選択に関する基本的な考え方当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。なお、IFRSの
5658,"業績見通しにつきましては、連結売上高35,000百万円、連結営業利益1,450百万円、連結経常利 益2,000百万円、親会社株主に帰属する当期純利益1,200百万円を見込んでおります。 （５）利益配分に関する基本方針及び当期・次期の配当 当社は、株主の皆様への利益還元を経営の重要課題と位置づけ、株主還元の一層の充実、資本効率の向上及び 機動的な資本政策の遂行等を図る観点から、自己株式取得を含めた総還元性向で50％以上の水準を担保すること としております。 当期の配当につきましては、当期業績に加え、上記の方針並びに自己株式の取得等を総合的に勘案し、１株に つき、既実施の中間配当４円に加え、期末配当を６円（年間配当10円）とする議案を本年６月の定時株主総会に 付議する予定です。 次期の配当につきましては、１株につき、中間配当４円、期末配当６円（年間配当10円）を予定しておりま す。 ２．会計基準の選択に関する基本的な考え方 当社グループのステークホルダーの多くが、国内の株主や取引先等であるため、会計基準につきましては日本基 準を適用しております。 4 ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形 売掛金 電子記録債権 有価証券 製品 仕掛品 原材料及び貯蔵品 その他 貸倒引当金 流動資産合計 固定資産 有形固定資産 建物及び構築物（純額） 機械装置及び運搬具（純額）"
2788,"今後の見通し 当社グループを取り巻く事業環境は、国際情勢不安の長期化や海外経済の減速、資源価格の高騰等、国内外の経済環境は依然として先行き不透明な状況が続くものと思われます。 このような経済環境の中、引き続き東南アジアを中心に中古車輸出事業の販路拡大、当社と連結子会社であるアップルオートネットワーク株式会社の両社のシナジー効果を加速させ、グローバル化とDX化を目標に当社グループ全体の企業価値の向上と持続的成長を果たしていくよう努めてまいります。 次期の見通しにつきましては、売上高35,856百万円、営業利益769百万円、経常利益930百万円、親会社株主に帰属する当期純利益615百万円を見込んでおります。 なお、業績予想数値は、現時点で入手可能な情報に基づき判断した見通しであり、多分に不確定な要素を含んでおります。実際の業績は、業況等の変化により、当該数値と異なることがあります。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び国内の同業他社との比較可能性を考慮し、会計基準につきましては日本基準を適用しております。 アップルインターナショナル株式会社（2788） 2025年12月期 決算短信 - 4 - (単位：千円)前連結会計年度(2024年12月31日)当連結会計年度(2025年12月31日)資産の部流動資産現金及び預金4,381,0744,731,852売掛金4,813,6515,801,589商品及び製品7,743,3016,96"
8881,"今後の見通し国内経済は引き続き回復基調のまま推移することが見込まれます。不動産業界・建設業界におきましても、堅調な需要が見込まれますが、地政学的リスクの長期化により、資材価格やエネルギー価格の高騰が常態化し、事業コストの上昇局面は続く見通しです。不動産事業においては、用地確保に要する時間や費用が事業計画の制約となり、また、金利動向による住宅需要の減退や金利負担増大が懸念されます。建設事業においては、働き方改革の進展による労働時間の制限に加え、慢性的な人手不足による工事の長期化が避けられない状況にあります。こうした環境のもと、中期経営計画の最終年度となる2027年３月期の見通しにつきましては、連結売上高88,000百万円、営業利益6,000百万円、経常利益5,000百万円、親会社株主に帰属する当期純利益3,500百万円を見込んでいます。中期経営計画に掲げた目標（連結売上高88,000百万円、営業利益5,000百万円）を利益面で上回る見通しです。なお、実際の業績は今後様々な要因によって大きく異なる可能性があります。今後とも、株主の皆様のご要望、ご期待に沿えるよう努力いたす所存でありますので、引き続き変わらぬご支援を賜りますよう、お願い申し上げます。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針です。IFRSの導入については、国内他社の採用状況その他を考慮したうえで検討す"
8917,"今後の見通しにつきましては、土地価格や建築資材価格等が高止まりし、金利も上昇傾向にある中、住宅の購入には慎重な姿勢が続いており、中低価格の戸建市場の回復はまだ時間を要するものと予想されます。 このような環境の中、当社グループでは、前連結会計年度末に株式会社ＫＨＣとその子会社（以下、「ＫＨＣグループ」）が新たに当社グループに加わり、引き続き企業理念「１．住宅作りにおいて社会へ貢献する。２．より良いものを、より安く、より早く、より安全に提供することで社会へ貢献する。３．人を育て、健全経営を行い、社会へ貢献する」の下、お客様のニーズに即した魅力的な住宅を、適切な価格で供給することに邁進してまいります。 ファースト住建(株)（8917）令和７年10月期 決算短信 - 4 - 翌連結会計年度には、当社グループ全体で戸建分譲1,160棟、請負工事210棟の販売を目指してまいります。当社グループを取り巻く事業環境は引き続き厳しいものと予想されますが、当社、ＫＨＣグループ、アオイ建設株式会社の各社は、それぞれの特徴を生かした事業展開を行ってまいります。グループ各社の特徴ファースト住建株式会社 一次取得者向けの低価格住宅に強み、売上構成では建売住宅の比率が大部分。ローコスト、在庫回転率が高く「より良いものを、より安く、より早く、より安全に提供する」ことを実現している。ＫＨＣグループ 住宅のデザイン、設計に強い。注文住宅の比率が高く、販売価格帯も同一エリアであればファースト住建株"
5900,今後の見通し次期以降の経営環境につきましては、中東情勢などの地政学的リスクの高まりや人手不足と人件費の上昇から、物価、物流費などの高止まりが続く中、円安傾向の為替相場や金利の上昇などの影響も相まって、引き続き調達コストにおいて厳しい環境が見込まれます。一方で、継続的な賃上げや雇用環境の改善により、個人消費は持ち直しの動きとなり、人手不足への対応やデジタル化に向けた設備投資も底堅い動きとなることで、多くの下振れリスクを内包するものの、国内景気は緩やかな回復基調となることを想定しております。建築関連製品事業におきましては、国内市場は人口減少などにより縮小傾向は続くものの、建築現場の省力化への要望や住宅の高機能化などから建築関連製品の需要は堅調に推移することが見込まれます。また、脱炭素、グリーン・トランスフォーメーションなどの社会要請に応えていくことが急務となっております。さらに、人手不足から生じる労務コストの上昇や資材価格高騰などによる製造コストの増加への対応も課題となっております。このような事業上の課題に対して、SDGsなどの環境や社会課題に対応する新製品開発や既存製品の用途提案などにより、新しい需要の芽を逃さず獲得に取り組むとともに、㈱三木製作所とのシナジー効果を高めることで、市場の拡大と収益力強化を図ってまいります。また、海外市場においてもその多様な文化へ対応し、当社の知名度を拡げていくことで成長力のある市場の開拓を進めてまいります。厳しい状況が見込まれる調達コストについては、
7879,"業績見通しは次のとおりです。 次期の連結業績見通し （2026年11月期） 当連結会計年度の 通期連結業績 （2025年11月期） 増減額 増減率 65,000 百万円 64,686 百万円 ＋313 百万円 ＋0.5％ 600 500 200 △47 △29 △829 ＋647 ＋529 ＋1,029 ― ― ― 売上高 営業利益 経常利益 親会社株主に帰属 する当期純利益 （５）利益配分に関する基本方針及び当期・次期の配当 当社の利益配分に関する基本方針は、業績の状況及び配当と内部留保のバランスに配慮しながら、配当の安定性 を確保するとともに、株主の皆様への利益還元を行うことです。また、内部留保金につきましては、財務基盤の充 実強化並びに今後の事業展開に役立てていく考えです。 なお、当期（2025年11月期）の期末配当金につきましては、配当の基本方針並びに当期の業績等を総合的に勘案 し、１株につき15円を提案させていただく予定です。これにより中間配当金を含め当期の年間配当金は１株につき 33円（前期は１株につき42円50銭、前期に比べ９円50銭の減配）となります。 また、次期（2026年11月期）の配当金につきましては、１株につき30円（中間15円、期末15円）を予定しており ます。 - 5 - ２．企業集団の状況 当社の企業集団は、当社、子会社７社及び関連会社１社で構成され、建材製品及び合板などの製造"
5921,"今後の見通しにつきましては、価格転嫁の進展、インバウンド消費、人手不足等を背景とした旺盛な設備投資が 続くことが予想され、民間消費が下支えとなり、我が国経済の全体の景況感は緩やかに持ち直すことが期待されま す。 しかしながら、米国の相互関税政策の影響の顕在化、原材料価格の上昇、人手不足による企業活動への影響等に よる景気の下押し圧力は根強く、影響を受ける業界においては厳しい経営環境となることが予想されます。 建設業界においては、これらの影響を受けて建築需要が低迷し、鉄骨需要が3連続で400万トンを下回る見通しで す。建築コストの高騰に伴う予算不足から、首都圏を中心とした大型案件の計画や工期の見直し等により、受注案 件の工程遅れ及び受注予定案件の発注延期が懸念され、工場稼働率に影響を及ぼす恐れがあります。 このような事業環境の下、当社は、2024年４月に公表した、成長基盤の基礎固めと位置付ける「第１次中期経営 計画（2024年９月期～2026年９月期）」に沿って、資本コストや株価を意識した経営の実現に向けて取り組んでま いります。 第１次中期経営計画の最終年度となる来期の完成工事高22,000百万円、営業利益1,000百万円、経常利益1,150百 万円、当期純利益800百万円を見込んでおります。 なお、上記の業績予想につきましては、現時点で入手可能な情報に基づき作成したものであり、実際の業績は、 今後の様々な要因によって大きく異なる可能性"
6222,今後の見通し 今後の世界経済見通しにつきましては、緩やかな景気回復傾向にあるものの、中東情勢の緊迫化による地政学リスク の高まりなど先行きは不透明な状況が継続すると思われます。中東情勢の緊張が長期化した場合には、原材料費、エネ ルギー価格、輸送費などの高騰によるコスト増が想定され、原材料の供給不足による生産面への影響や顧客の生産調整、 市場の停滞による受注減といったリスクが生じる可能性があります。 当社の主要販売先となるアパレル・ファッション業界においては、エシカル消費やトレーサビリティの要求など消費 行動の変化や、ＥＣサイトをはじめとするデジタル化の急速な進展、サステナビリティに関する企業の社会的責任の増 大など、変化する事業環境への対応がますます求められています。こうした環境のもと、これまでのようなリードタイ ムの長い大量生産・大量消費を前提としたビジネスモデルから脱却し、市場ニーズに即した消費者満足度の高い商品を、 必要なときに必要な量だけ生産し、短納期で消費者に届ける「あるべきビジネスモデル」の構築が急務となっていま す。事業環境においては、世界人口増加やＧＤＰ成長にともない安定的にマーケットは拡大傾向にあり、モノづくり環 境の変化に基づくマーケットの移動は加速しています。一方、多発する紛争や複雑化する世界経済による投資意欲の減 退、中国メーカーなど競合他社とのシェア争いが激化することも想定されます。 当社グループは、このようなアパレル・ファッシ
