コード,短信タイトル,短信PDF_URL,来期見通し(短信抜粋)
6986,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523151.pdf,今後の見通しについては、緩やかな景気回復傾向が継続するものの、中東情勢の緊迫化をはじめとする地政学的リスクの高まりおよびそれに伴う各種コストの増加、米国の関税政策をめぐる動向など、企業を取り巻く事業環境は依然として先行き不透明な状況が続くものと考えられます。 なお、中東情勢の緊迫化による影響については、既に原油価格の上昇、石油関連製品の価格高騰や調達難など一部で影響が出始めており、一定の想定に基づ…
5956,2026年３月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513527633.pdf,今後の見通しにつきましては、国内経済は雇用・所得環境の改善や各種政策等により引き続き緩やかな回復基調 にて推移すると見込まれるものの、米国の通商政策や不安定な国際情勢に伴う世界的な景気下振れや原材料・エネ ルギー価格の高騰、為替変動など、先行きは極めて不透明な状況が続くと想定されます。当社グループ事業に関連 の深い建設市場におきましても、新設住宅着工戸数の減少に加え、人手不足や資材価格上昇等の影響…
7399,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260507518920.pdf,次期の見通し 国際情勢の不安定化や金融政策の転換による先行き不透明感の中、物価上昇や需要の選別化が進み、今後とも収 益を圧迫する状況は続くと思われます。 このような厳しい経営環境下、生産および販売体制のさらなる効率化を進めるとともに、収益性を重視した製品 構成の見直しに取り組んでまいります。 また、持続的な成長軌道を確保するため、製造業としての原点に帰り、選択と集中による経営基盤の再構築に取 り組…
7427,2026年2月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260410/20260331593836.pdf,今後の見通し」をご覧ください。 エコートレーディング㈱（7427）2026年２月期 決算短信― 1 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 2 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 3 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 4 ― エコートレーディング㈱（7427）2026年２月期 決算短信― 5 ― エコート…
6943,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260424510300.pdf,今後の見通し 次期の見通しにつきましては、各国での物価上昇の継続に加え、米国における関税をはじめとする通商政策が世 界経済に与える影響、ウクライナ情勢の長期化や中東情勢の緊迫化等の地政学リスク、中国の景気低迷の長期化懸 念など、世界経済の不確実性が高まると見込んでおります。 このような環境の中、当社グループは、2030年のありたい姿として制定したグループビジョン「私たちが笑顔と なり、お客様の困り…
5658,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530584.pdf,"業績見通しにつきましては、連結売上高35,000百万円、連結営業利益1,450百万円、連結経常利 益2,000百万円、親会社株主に帰属する当期純利益1,200百万円を見込んでおります。 （５）利益配分に関する基本方針及び当期・次期の配当 当社は、株主の皆様への利益還元を経営の重要課題と位置づけ、株主還元の一層の充実、資本効率の向上及び 機動的な資本政策の遂行等を図る観点から、自己株式取得を含めた総…"
2788,2025年12月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260213559118.pdf,今後の見通し 当社グループを取り巻く事業環境は、国際情勢不安の長期化や海外経済の減速、資源価格の高騰等、国内外の経済 環境は依然として先行き不透明な状況が続くものと思われます。 このような経済環境の中、引き続き東南アジアを中心に中古車輸出事業の販路拡大、当社と連結子会社であるアッ プルオートネットワーク株式会社の両社のシナジー効果を加速させ、グローバル化とDX化を目標に当社グループ全体 の企業価値…
8881,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260406599010.pdf,今後の見通し国内経済は引き続き回復基調のまま推移することが見込まれます。不動産業界・建設業界におきましても、堅調な需要が見込まれますが、地政学的リスクの長期化により、資材価格やエネルギー価格の高騰が常態化し、事業コストの上昇局面は続く見通しです。不動産事業においては、用地確保に要する時間や費用が事業計画の制約となり、また、金利動向による住宅需要の減退や金利負担増大が懸念されます。建設事業においては…
8917,令和７年10月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251215/20251215520126.pdf,今後の見通しにつきましては、土地価格や建築資材価格等が高止まりし、金利も上昇傾向にある中、住宅の購入 には慎重な姿勢が続いており、中低価格の戸建市場の回復はまだ時間を要するものと予想されます。 このような環境の中、当社グループでは、前連結会計年度末に株式会社ＫＨＣとその子会社（以下、「ＫＨＣグ ループ」）が新たに当社グループに加わり、引き続き企業理念「１．住宅作りにおいて社会へ貢献する。２．より …
5900,2026年２月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260410/20260410501755.pdf,今後の見通し 次期以降の経営環境につきましては、中東情勢などの地政学的リスクの高まりや人手不足と人件費の上昇から、 物価、物流費などの高止まりが続く中、円安傾向の為替相場や金利の上昇などの影響も相まって、引き続き調達コ ストにおいて厳しい環境が見込まれます。 一方で、継続的な賃上げや雇用環境の改善により、個人消費は持ち直しの動きとなり、人手不足への対応やデジ タル化に向けた設備投資も底堅い動きとな…
7879,2025年11月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260115/20260115534422.pdf,"業績見通しは次のとおりです。 次期の連結業績見通し （2026年11月期） 当連結会計年度の 通期連結業績 （2025年11月期） 増減額 増減率 65,000 百万円 64,686 百万円 ＋313 百万円 ＋0.5％ 600 500 200 △47 △29 △829 ＋647 ＋529 ＋1,029 ― ― ― 売上高 営業利益 経常利益 親会社株主に帰属 する当期純利益 （５）利益配分に関す…"
5921,2025年9月期　決算短信〔日本基準〕(非連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251114/20251114502533.pdf,今後の見通しにつきましては、価格転嫁の進展、インバウンド消費、人手不足等を背景とした旺盛な設備投資が 続くことが予想され、民間消費が下支えとなり、我が国経済の全体の景況感は緩やかに持ち直すことが期待されま す。 しかしながら、米国の相互関税政策の影響の顕在化、原材料価格の上昇、人手不足による企業活動への影響等に よる景気の下押し圧力は根強く、影響を受ける業界においては厳しい経営環境となることが予想…
6222,2026年３月期　決算短信[日本基準]（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260508519660.pdf,今後の見通し 今後の世界経済見通しにつきましては、緩やかな景気回復傾向にあるものの、中東情勢の緊迫化による地政学リスク の高まりなど先行きは不透明な状況が継続すると思われます。中東情勢の緊張が長期化した場合には、原材料費、エネ ルギー価格、輸送費などの高騰によるコスト増が想定され、原材料の供給不足による生産面への影響や顧客の生産調整、 市場の停滞による受注減といったリスクが生じる可能性があります。…
5753,2026年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260511522406.pdf,今後の見通しといたしましては、兄弟会社であるサンエツ金属株式会社及び三谷伸銅株式会社とのシナジーを追 求し、競争力と企業価値の向上に努めて参ります。 当社は、その業績が主要原材料である電気銅や電気亜鉛の相場価格に大きな影響を受けますので、次期の業績予 想は、電気銅や電気亜鉛の相場価格が一定であることを前提とした金額としております。前提よりも相場価格が上 昇した場合は、販売数量が計画通りであっても売…
5962,2026年3月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260416505165.pdf,今後の見通しにつきましては、引き続きインバウンド需要や雇用・所得環境の改善により、景気は緩やかながらも 回復基調が続くことが期待されるものの、原材料やエネルギー価格の高止まりによる仕入価格の上昇や為替変動の 他、地政学的リスクの長期化や国際情勢の不安定化等、見通しは依然として不透明な状況が続くものと見込まれま す。 このような環境下において、除雪関連用品については降雪の影響により、市場の流通在庫は…
8013,2026年1月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260313/20260306577666.pdf,今後の見通しにつきましては、雇用・所得環境の改善が期待される一方で、物価上昇の継続、為替 変動、海外経済の不確実性に加え、中東情勢の動向によるエネルギー価格や物流コストへの影響な どが懸念される状況にあります。こうした環境の下、消費者の節約志向が継続する中、需要動向に は力強さを欠く局面が見られました。当社グループといたしましては、こうした事業環境の変化に 柔軟に対応しながら着実な成長を目指してま…
8746,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515538584.pdf,今後の見通し 当社グループの業績は、金融市場の動向に大きな影響を受け、適正な業績予想を行うことが非常に難しいことか ら、連結業績予想の開示は控えさせていただいております。 ２．会計基準の選択に関する基本的な考え方 当社グループは、国際的な事業展開や資金調達を行っておりませんので、日本基準に基づき連結財務諸表を作成 しております。 - 3 - unbanked株式会社(8746) 2026年３月期 …
6390,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530876.pdf,今後の見通し 当社では2026年３月期を初年度とする３ヵ年の中期経営計画を策定し、2025年３月27日に公表いたしました。同 計画では『飛躍、そして次の時代へ』をメインテーマに「企業価値の向上」「成長戦略の推進と有効投資」「収益 性の更なる向上」「サステナビリティ経営の実践」を基本方針に掲げ、外部要因に左右されにくい強固な経営基盤 づくりと成長戦略に沿った施策を推進してまいります。 中期経営計画の…
8040,2025年12月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260212557918.pdf,今後の見通しにつきましては、雇用・所得の改善が進む中、景気は緩やかに回復していくことが期待されます。一 方で、原材料やエネルギー価格の上昇、物価や人件費の上昇によるコスト面での影響に加え、衣料品に対する消費者 の節約志向や低価格志向が想定されるなど、先行き不透明な状況が続くことが想定されます。 このような状況の中で当社グループは、2027年を最終年度とする中期経営計画において、フォーマル、ライフス…
8138,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513529027.pdf,今後の見通し わが国経済は、賃上げの継続や政府の経済政策、さらに高い水準である家計貯蓄などが内需を下支えし、個人消 費や設備投資の改善など緩やかな回復基調が継続する見通しですが、他方で、海外経済の動向や通商政策の不確実 性、原油価格の変動、金利上昇など下振れリスクも依然として存在し、特に、米国の関税政策や地政学リスクは外 需の不透明感を高める要因となっております。 このような状況のなか、当社グルー…
6249,2026年３月期　決算短信[日本基準]（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514532037.pdf,今後の見通し 次連結会計年度の我が国経済は、引き続き雇用・所得環境の改善、DX投資などを中心とした堅調な設備投資等を 背景に、緩やかな回復が続くことが期待されている一方で、中東情勢の長期化等の地政学リスクの高まりによる原 材料の高騰、米国の関税政策の動向による各国経済への影響など、世界経済の先行きは不透明な状況が続くものと 想定しております。 遊技業界においては、パチンコホール数の減少傾向が緩やか…
4102,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514531982.pdf,"今後の見通しにつきましては、雇用・所得環境の改善により、景気は緩やかに回復局面が続くと思われます。その 一方で、米国の通商政策の影響は緩和されるものの、イラン情勢の影響による原油価格高騰の長期化が懸念され、景 気の先行きは不透明な状況が続くものと思われます。それらを踏まえ、2027年３月期連結業績見通しは売上高13,000 百万円、営業利益100百万円、経常利益250百万円、親会社株主に帰属する当…"
7902,2026年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260512525974.pdf,今後の見通しにつきましては、景気回復が期待される一方、資源価格や原材料価格の高騰に加え、米国の貿易政 策や中国経済の停滞、地政学リスク等、引き続き不透明な状況が続くことが予想されます。 当社の主要顧客である電子部品・デバイス業界においては、ＡＩサーバーやデータセンター向けの部品やスマー トフォンなどの情報通信関連向けの部品の需要が引き続き堅調に推移することが予想されますが、車載向けや産業 機器向け…
3787,2026年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260507518489.pdf,今後の見通し 2027年３月期の見通しにつきましては、情勢改善見込み（ロシアによるウクライナ侵攻や中東紛争の収束）はあるも のの、米国のトランプ大統領による相互関税に代わる新たな関税政策の内容・進展次第では世界経済が減速・低迷しイ ンフレ圧力も受けるという状態に陥ることも危惧されています。我が国においては、インバウンド需要は堅調が見込ま れるものの、トランプ関税による輸出低迷や実質可処分所得の改善…
6155,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260507518366.pdf,今後の見通し 日本経済の先行きについては、雇用・所得環境の改善により個人消費が緩やかに増加し、人手不足への対応や成長 分野への投資を背景として企業の設備投資も底堅く推移することから、内需を中心に回復基調が続くものと見込まれ ます。一方で、米国の通商政策をはじめとする海外経済の動向や、中東情勢等の地政学的リスクに伴う資源価格の変 動、金融資本市場の影響などについては不透明感が残っています。 当社グル…
6049,2025年10月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251212/20251211518176.pdf,"今後の見通し 当社は、2026年10月期において広告単価の高騰が継続していることより、投資効率を最適化し安定した利益確 保を目指す方針でおります。それに伴い、売上高についてはレンジ形式による業績予想開示を継続してまいりま す。また、「コドモブースター」においては効率的な広告運用及び新商品の販売等による営業利益拡大を目指し てまいります。 以上により、2026年10月期につきましては 、売上高3,0…"
8144,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514534964.pdf,"今後の見通し 国内経済は、持続的な賃上げと内需の底堅さに支えられ、プラス成長が続くと予想される一方で、軍事衝突や資 源供給の混乱が長期化する可能性もあり、中東情勢の動向とそれに伴う資源価格・物流の変化が今後の景気に与え る影響が懸念される状況となっております。 こうしたなかで、当社グループは３カ年の中期経営計画（2024年度～2026年度）の最終年度を迎えます。 同計画における、「『売上1,000…"
8891,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513528100.pdf,今後の見通し 中東情勢の悪化に伴う原油価格動向及び建築資商材の価格高騰と供給状況の不透明感が高まっており、現時点に おいて2027年３月期の連結業績予想を合理的に見通すことが困難な状況にあります。 当社におきましては、2027年３月期の連結業績予想を算定するにあたり、中東情勢の悪化が長期化し、建築資商 材の価格高騰による利益率の低下、及び第３四半期以降に建築資商材の調達に大きな影響が生じた場合を想…
5280,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260430/20260428513857.pdf,今後の見通し） 今後の経営環境につきましては、ウクライナ情勢や中東情勢の影響、中国経済の成長の鈍化、および米国の政 策の動向などもあり、景気の先行きは不透明な状況が続くと思われます。 このような状況下、当社グループは、地元密着型の不動産仕入れと、実需ニーズに基づいた不動産企画を徹底 し、販売用不動産の回転率を高めることで対応してまいります。加えて、社員が広い視野、高い視点、深い考察 を持ち、ハイレ…
6964,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260507517862.pdf,今後の見通し 主力の自動車産業は、アメリカ大統領の関税政策やＥＶ補助金の中止により、国内自動車メーカーは大きな方針転 換を強いられています。中国自動車メーカーの伸長、中東情勢も先行きが見通せず厳しい事業環境となっておりま す。 従いまして2027年３月期の連結業績予想につきましては、現段階での業績の予想は困難でありますが、自動車生産 台数は減速すると予測し、売上利益ともに保守的に見込んでおります。…
5909,2026年3月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260512524436.pdf,今後の見通し 今後のわが国経済は、雇用・所得環境の改善が期待されるなど 、緩やかな回復基調が続くことが考えられます。 一方で、中東情勢の緊迫化によるエネルギー価格の上昇や石油由来原材料の価格上昇及び部材調達難 、為替影響に よる物価上昇などがもたらす経済活動や国民生活への影響は今後も継続することが予想されるほか 、各国の通商政 策などによる影響が景気を下押しするリスクとなることも想定されます。 住…
6257,2026年3月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523718.pdf,今後の見通しにつきましては、中東をはじめとした世界情勢の動向による原材料価格の上昇や供給面での制約な ど下振れリスクに注意が必要な状況でありますが、政府主導の対策による実質所得の改善やＡＩの活用など技術革 新の進展により、緩やかな景気回復が続くと見込まれます。 遊技機業界においては、大手法人による寡占化とともに店舗数・総設置台数の減少は緩やかに進むと予測される ものの、業界団体が主導する遊技の啓蒙…
5923,2026年3月期決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260423508704.pdf,今後の見通し 【中期経営計画2024の進捗】 ＜総括＞ 橋梁事業における新設鋼橋の事業環境が低迷を続けており、策定時の予想と大きく乖離したことで、2024年５月10 日に開示した「中期経営計画2024」の数値目標につきましては、本日修正目標を開示しております。また同時に、い かなる経営環境であろうとも、持続的に成長可能な企業へと進化するために、次の10年に向けて会社のありたい姿を 示す長期ビジョン…
3396,2026年2月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260407/20260407599181.pdf,今後の見通し 2027年２月期につきましては、前期に確立した収益基盤を土台に、「増収増益の常態化」を実現する極めて重要な 実行年と位置づけ、「定期便事業の抜本的強化」と「次世代事業の創造」を両輪として成長軌道を牽引することを目 指します。 主力の定期便事業では、合理性や効率性が重視される現代社会に対して、コストパフォーマンスや利便性のみを訴 求する事業とは一線を画した共感主導型マーケティングを徹底…
8904,2025年8月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251014/20251009571056.pdf,業績見通しにつきましては 、売上高 は720億円（前年同期比 3.9％増）、営業利益は19億円（前年同期比44.6％増）、経常利益は16億円（前年同期比39.6％増）、親会社株主に 帰属する当期純利益は12億円（前年同期比87.7％増）を見込んでおります。 (5）利益配分に関する基本方針及び当期・次期の配当 当社は、中長期的な企業価値最大化によって株主に帰属する利益を増大させ、持続的な株主価値向上…
8165,2025年12月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260213561513.pdf,今後の見通し （連結） (単位：百万円) 2026年度の見通しにつきましては、再生計画（2025年～2027年）の２年目として、当連結会計年度に構築した事業 基盤を活かし、確実な成果創出を図る年と位置付けております。売上高につきましては、通信販売事業の抜本改革に 伴う各施策の本格的な効果発現時期を慎重に見極めた結果、再生計画２年目の数値目標460億円から450億円へ見直し ます。営業利益につきまし…
8772,2026年３月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513530538.pdf,今後の見通し （不動産担保ローン事業） 主要事業の不動産担保ローン事業においては、従来通り「債権の健全性」を重視しつつ、企業の認知度及び 商品の有用性の積極的なプロモーション活動を行い、集客力を高めることによって、良質な貸付債権の積み上 げを行えるものと見込んでおります。 （信用保証事業） 信用保証事業においては、残高は堅調に推移しており、次期においても一定の成果を見込んでおりますが、 連結業績に…
7851,令和８年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514533919.pdf,今後の見通し 先行き不透明な中東情勢の緊迫化を受け、今後も原材料等を含めたあらゆるものが高騰するものと予想されま す。当社に限らず、お客様にもその影響があるものと考えており、今後の受注状況にも影響するものと予想してお ります。 このような状況のなか当社におきましては、引き続き地方自治体や外郭団体などへの営業活動の強化、新規案件 の取り込み、お客様への価格改定活動を行ってまいります。 現時点における…
4234,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260427511216.pdf,業績見通しにつきましては、売上高 306億円（前年同期比 0.8％増）、営業利益９億 40百万円（前年同期比 12.3％増）、経常利益11億円（前年同期比 7.7％増）、親会社株主に帰属する当期純利益６億50百万円（前年同期比32.1％減）を予想しております。 ２．会計基準の選択に関する基本的な考え方 当社グループの利害関係者 の多くは、国内の株主、債権者、取引先等であり、海外からの資金調達の必要…
3261,2025年12月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260210/20260209552069.pdf,今後の見通し 当社グループを取り巻く経営環境は、建築資材価格および人件費の上昇が継続する中、住宅販売価格は高止まり の状況が続いております。また、消費者物価の上昇や金利上昇の影響により、実需を中心とした住宅需要は低調に 推移しております。一方で、企業間競争については過度な競争局面を概ね脱しつつあり、地方では建売住宅事業か ら撤退する小規模事業者も見受けられるなど、市場環境は転換期を迎えております。…
9767,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514535603.pdf,今後の見通し 物価の上昇やアメリカの政策動向さらに地政学的緊張の増大による原材料の調達難および価格高騰の影響等に十 分注意する必要があり、先行き不透明な状況にありますが、公共投資は底堅く推移するものと予想されます。業界 を取り巻く環境は厳しさを増していくものの、気候変動や地震及び火山による自然災害の激甚化・頻発化に直面す るなかで、当社グループの主たる業務である港湾、漁港、海岸、河川、砂防分野にお…
